,country,description,points,price,province,title,variety,winery
9582,Portugal,"Soft and light, this is attractively fruity although it lacks great depth of flavor. It is balanced, ripe and sweet, with touches of the wood aging and acidity coming through more strongly at the end.",86,55.0,Port,Niepoort NV 10-Year-Old Tawny  (Port),Port,Niepoort
9583,Portugal,"The wine has a dark, still-young color. Freshness brings out bright red and dried fruits as well as acidity. It's attractive, soft and fruity, a young-tasting 10-Years-Old.",86,24.0,Port,Offley NV Barão de Forrester 10-Year-Old Tawny  (Port),Port,Offley
9596,Italy,"Made from Marche's Passerina grape, this offers zesty citrus, apple, butterscotch and vanilla sensations. The mouthfeel is a bit rough because of hard-edged bubbles.",85,22.0,Italy Other,Ciù Ciù NV Brut Altamarea Passerina (Vino Spumante),Passerina,Ciù Ciù
9737,Italy,"Here's a fun refreshing sparkler that offers delicate scents suggesting red berry and a whiff of candied citrus zest. The lively palate offers strawberry, red currant and apple alongside tangy acidity. It finishes clean and crisp.",89,30.0,Northeastern Italy,Altemasi NV Rosé Sparkling (Trento),Sparkling Blend,Altemasi
9800,Portugal,"Long barrel-aging of many old native varieties gives this field blend a rich, ripe taste. There is an attractive touch of oxidation from the wood, giving concentrated toast and spice as well as fruit acidity. This unusual, impressive wine from the Guedes family is ready to drink now.",93,65.0,Dão,Sogrape NV Branco Especial White (Dão),Portuguese White,Sogrape
9851,Spain,"Lean aromas of green fruits include notes of grass and vanilla. This feels about average, with some flatness to the palate. Dry, slightly bitter flavors of green fruits and arugula end with briny citrus.",86,15.0,Catalonia,Mont Marçal NV Brut Reserva Sparkling (Cava),Sparkling Blend,Mont Marçal
9864,Italy,"Blackberry jam and plum cake aromas lead the nose of this simple but well made semisweet sparkling wine. The palate mirrors the nose, while bright acidity lends freshness.",86,12.0,Central Italy,Cantina di Sorbara NV Il Duomo Amabile  (Lambrusco di Modena),Lambrusco,Cantina di Sorbara
9889,Italy,"Subtle aromas of wild flower and white stone fruit set the tone on this bright sparkler. On the fresh creamy palate, green apple, white peach and a note of candied nectarine zest reign.",88,40.0,Veneto,Merotto NV Dry  (Valdobbiadene Superiore di Cartizze),Glera,Merotto
9970,US,"A hazelnut-infused dessert wine based upon Pinot Noir, it's raisined, slightly volatile and impressively nutty. It turns creamy in the mouth, with rich flavors of hazelnut, toffee plus a hint of dried leaves.",87,39.0,Oregon,Treos NV Ternion Pinot Noir (Willamette Valley),Pinot Noir,Treos
10002,Italy,"Here's a lovely sparkling wine that offers a floral fragrance of white flowers and tropical fruit. The palate delivers apple, white peach and a hint of almond. It has a creamy texture and a clean, crisp finish. A classic Franciacorta.",91,29.0,Lombardy,Il Mosnel NV Brut Sparkling (Franciacorta),Sparkling Blend,Il Mosnel
10004,France,"A crisp, finely balanced wine, this is packed with fresh citrus, peach-skin and green-apple flavors. It's a textured wine with layers of minerality on the palate. The acidity is just right—a fine streak that cuts through the fruitiness and gives a tight, taut finish.",91,57.0,Champagne,J. Dumangin Fils NV La Cuvée 17 Brut  (Champagne),Champagne Blend,J. Dumangin Fils
10019,France,"Toast and brioche aromas lead this rich, generous wine. It has considerable bottle age, meaning the youthful freshness has been replaced by a mature character. Dry in style yet quite ripe, this is a Champagne for food.",91,40.0,Champagne,Vincent Couche NV Extra Brut  (Champagne),Champagne Blend,Vincent Couche
10073,US,"This may be the most serious California boxed wine on the market, showing great flavor concentration and an appetizing texture that's laced with fine-grained tannins. It has a deep red-black color, blackberry and dark chocolate aromas and a lip-smacking finish.",88,20.0,California,Vin Vault NV Cabernet Sauvignon (California),Cabernet Sauvignon,Vin Vault
10081,Germany,"Despite it's cheeky, critter-wine packaging, there's a fair amount of elegance to be found in this sparkling blend of Trebbiano, Airen and Müller-Thurgau. A tad sweet, it's fresh with apple, lemon and grapefruit flavors, nuanced with a hint of toast and nut. Brisk acidity drives a pristine finish. Drink now through 2020.",88,17.0,Germany,Dachshund NV Bubbles Sparkling (Germany),Sparkling Blend,Dachshund
10180,Spain,"Light apple and spice aromas are simple, straightforward and appealing. The palate shows good balance, freshness and tasty flavors of candied pineapple and orange. Finishes juicy and correct.",87,10.0,Catalonia,Marques de Monistrol NV Selección Especial Brut Sparkling (Cava),Sparkling Blend,Marques de Monistrol
10183,US,"A good, scoury sparkler, with nice citrus, vanilla and toast flavors and a whistle-clean finish. The bubbles are a little rough.",87,36.0,California,Mumm Napa NV Brut Reserve Sparkling (Napa Valley),Sparkling Blend,Mumm Napa
10184,US,"A fine California bubbly, soft and luxurious in the finesse of its bubbles. The orange, strawberry and vanilla cream flavors are overtly sweet, making this a good partner for wedding cake.",87,22.0,California,Mumm Napa NV Cuvée M Sparkling (Napa Valley),Sparkling Blend,Mumm Napa
10198,France,"Interesting fruit flavors of grapefruit, orange and citrus lead the way, bolstered by lots of bubbles and firm acids. There's a fair amount of sweetness as well, nicely balanced against the powerful, bracing fruit. This wine is probably best served at the end of a meal, with a light dessert of fresh fruit.",87,12.0,Rhône Valley,Raymond Beck NV Cuvée Prestige  (Clairette de Die Méthode Dioise Ancestrale),Sparkling Blend,Raymond Beck
10201,France,"Features very bright, almost candied, aromas of cherries and strawberries that are followed up on the palate by a creamy texture and more red fruit. There’s a slight hint of green herbs, but it’s well under control.",87,35.0,Champagne,Nicolas Feuillatte NV Premier Cru Brut Rosé  (Champagne),Champagne Blend,Nicolas Feuillatte
10202,France,"Fragrant; dusty plum and rose aromas are followed on the palate by very fruity flavors of cherries and apple skins. The fine bead and rich mousse result in a creamy mouthfeel. It’s all a bit obvious and simple, but undeniably good.",87,83.0,Champagne,Ruinart NV Brut Rosé  (Champagne),Champagne Blend,Ruinart
10204,Spain,"There’s plenty of enjoyment in this modestly priced wine, which has dusty, earthy aromas and just the slightest hint of citrus and melon. It’s very dry and faintly fruity. Has a bit of a scouring quality from high acidity, and it’s rough, but it’s exceptionally clean and brisk.",86,9.0,Catalonia,Cristalino NV Brut  (Penedès),Champagne Blend,Cristalino
10205,Spain,"Bone-dry and austere, this is a wine for people who feel that fruit and sugar have no place in a sparkling wine. The aromas are of sun-baked earth and dust, with a trace of vanilla and white chocolate. All you really experience on the palate is acidity, alcohol and weight, although if you try hard you can imagine a squeeze of lime. It’s very clean.",86,17.0,Catalonia,Juvé y Camps NV Brut Nature Reserva de la Fami  (Penedès),Champagne Blend,Juvé y Camps
10207,US,"The lightest of the Thornton lineup marches to the beat of a different drummer. Dominated by Muscat Canelli, the aromas suggest ripe pears, buttered cinnamon toast and candied orange peel, but it’s not really sweet. In fact, it’s just barely off-dry, with wonderfully rich flavors. It finishes a little sugary, which makes it cloying, but this is a minor criticism. All in all, it’s good, unconventional stuff.",86,11.0,California,Thornton NV Cuvée de Frontigan White (California),White Blend,Thornton
10210,US,"It’s hard to keep the Chardonnay from getting ripe in California, and so this bubbly has strong, fruity notes from the citrus and peach-accented aromas through the peachy finish. Of course there’s toast, and the rough scour of acidity. It’s quite clean and refreshing, but definitely a warm-climate sparkling wine.",86,22.0,California,Mumm Cuvée Napa NV Blanc de Blancs  (Napa Valley),Champagne Blend,Mumm Cuvée Napa
10211,US,"A clean, lively wine with lemon-and-lime flavors and a hint of cocoa and vanilla, it’s rich and dry, with a nice scour of acidity. Turns rich and toasty on the pretty finish. It’s rough, but very well made.",86,11.0,California,Thornton NV Brut  (California),Champagne Blend,Thornton
10214,Italy,"Here’s a vigorous bubbly that impresses for the strength of its acidity and its fine cleanliness. The aroma is shy, even austere, just faintly suggesting diluted lime in water, and the flavors, also austere, are of lime. The wine asserts itself through power. It finishes rough and scoury, yet there’s something easy to like about it.",86,11.0,Northeastern Italy,Rotari NV Brut  (Trento),Champagne Blend,Rotari
10216,US,"Full-throttle lime, peach and strawberry aromas come through on the nose, with a trace of toast. It drinks as fruity as it smells. There’s some pretty toast and good acidity, and it finishes fruity and a little sweet.",86,17.0,California,Gloria Ferrer NV Brut  (Sonoma County),Champagne Blend,Gloria Ferrer
10218,Spain,"A pleasant, softly fruity bubbly with a tad more sweetness than you’d think from “Extra Dry.” It has some pretty flavors of apple juice with a dash of lime. Crisp acidity and fine, distinct bubbles keep things lively and fresh with this very clean crowd-pleaser of a wine.",85,8.0,Catalonia,Freixenet NV Cordon Negro Extra Dry  (Penedès),Champagne Blend,Freixenet
10221,France,"There’s a distinct and unmistakable scent of rotten eggs in this wine, which usually indicates excessive amounts of sulfur were used during bottling. Apart from that we have a rough and tumble, rustic style with big fruit and a yeasty, chewy finish.",85,39.0,Champagne,Montaudon NV Chardonnay Premier Cru Brut  (Champagne),Champagne Blend,Montaudon
10222,Spain,"This just off-dry bubbly marches to the beat of a different drummer. The underlying aromas are of lime, but there’s something strong and earthy that suggests dust, warm tree bark, or acrid honey. That penetrating flavor follows through in the mouth, where it turns a little sweet. But crisp acidity and good bubbles keep things balanced and cheerful.",85,13.0,Catalonia,Parxet NV Semi-Seco Reserva  (Penedès),Champagne Blend,Parxet
10223,Spain,"Starts out with some earthy, toasty and minerally aromas, with a streak of minty anise. This is a very full-bodied wine, loaded with earthy, mushroomy flavors, like biting into a heaping handful of mulch. It's also very dry, clean and organized enough to call a good value.",85,6.0,Catalonia,Paul Cheneau NV Blanc de Blancs Brut Chardonnay (Penedès),Chardonnay,Paul Cheneau
10323,Italy,"This luminous and delicately pink sparkling wine from northern Italy delivers elegant notes of stone fruit, pink grapefruit, chopped almond and freshly baked bread. Zesty acidity is backed by creamy, persistent perlage.",90,24.0,Northeastern Italy,Cesarini Sforza NV Tridentum Brut Rosé Pinot Nero (Trento),Pinot Nero,Cesarini Sforza
10400,France,"Aged in glass demijohns for one year and oak tuns for nine, this is a mature selection that's ready to drink now, though it can certainly keep for many more years to come. A beautiful rancio characteristic leads, with aromas of walnut shell, orange oil and earthy spice fill the bouquet. Skin-driven fruit flavors of cherry and plum dominate the gripping palate, while the complex finish reveals accents of black tea, licorice root and baking spice.",91,30.0,Languedoc-Roussillon,Mas Amiel NV Cuvée Spéciale 10 Ans d'Âge Grenache (Maury),Grenache,Mas Amiel
10531,France,"With a high proportion of Chardonnay, this is a ripe, full-bodied and lightly toasty wine. It's rich in the mouth and rounded with the crisp green acidity playing a good supporting role. This bottle shows some maturity, giving a complex aftertaste.",90,14.0,Loire Valley,Bouvet-Ladubay NV Excellence Brut Chenin Blanc-Chardonnay (Crémant de Loire),Chenin Blanc-Chardonnay,Bouvet-Ladubay
10570,Portugal,This is called sweet and that's what it is. The candied sweetness is balanced by some acidity to keep the wine crisp and fruity. It will be fine as an apéritif. Drink now.,84,8.0,Vinho Verde,Aveleda NV Casal Garcia Sweet White (Vinho Verde),Portuguese White,Aveleda
10677,Spain,"If this Cava weren't so pickled in smell and taste, it would rate better. As is, it opens with white fruit, vanilla and brine aromas. Flavors of apple and pear maintain a prevalent, pickled edge, while the finish falls off in feel and clarity.",84,15.0,Catalonia,Louis Drescher NV Amor Special Cuvée Sparkling (Cava),Sparkling Blend,Louis Drescher
10683,Italy,"This opens with aromas of honeysuckle and yellow stone fruit. On the simple off-dry palate, fresh acidity backs up ripe apricot and sweet white peach.",85,14.0,Veneto,Cantine Maschio NV Extra Dry  (Prosecco),Glera,Cantine Maschio
10688,Italy,"Here's an extremely simple sparkler with a shy nose and flavors suggesting acacia, apple and a hint of green melon. Brisk acidity provides the backdrop.",84,20.0,Veneto,Cavazza NV Brut  (Prosecco),Glera,Cavazza
10691,Italy,This extremely simple off-dry sparkler has light floral scents and flavors of mature yellow apple and canned pineapple. Brisk acidity and vigorous bubbles offer an edgy backdrop.,84,13.0,Veneto,Nobilissima NV Extra Dry  (Prosecco),Glera,Nobilissima
10693,Spain,"A strange but undeniable aroma of peanut butter announces this brut as a funky pour. The palate steps it up a bit, with yeasty, white-fruit flavors that turns foamy on a slightly green and bitter finish.",84,13.0,Catalonia,Segura Viudas NV Aria Estate Brut Sparkling (Cava),Sparkling Blend,Segura Viudas
10694,Italy,"This extremely informal sparkler doesn't reveal any aromas while the shy simple palate offers suggestions of yellow apple skin and citrus. It's brisk, with firm acidity and vigorous bubbles.",84,25.0,Veneto,Baldi NV Rive di Ogliano  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Baldi
10697,US,"This wine's intense grapey, jammy aromas lead to very fruity and blackberry jam, melted butter and strawberry syrup flavors. It's medium bodied and sweet.",84,5.0,California,Mancan NV Red (California),Red Blend,Mancan
10698,Italy,"Aromas of nut and yellow apple skin follow over to the lean palate along with brisk acidity. It's vigorous, with steely bubbles.",84,11.0,Veneto,Adria Vini NV Mirabello  (Prosecco),Glera,Adria Vini
10702,Italy,"Here's an extremely simple, slightly sweet sparkler that offers suggestions of white peach, pear and a candied note. Fresh acidity gives the finish a slight boost.",84,10.0,Veneto,Amore di Amanti NV Extra Dry  (Prosecco),Glera,Amore di Amanti
10704,Italy,"Acacia flower, almond and yellow apple aromas carry through to the lean, simple palate along with a confectionery note. Pour this at informal get-togethers.",84,14.0,Veneto,Cavazza NV  Prosecco,Glera,Cavazza
10705,US,"The winery indicates this is from 2015, but there is no vintage shown on the bottle. On the sweet edge of brut, it smells and tastes of plastic, with a grainy, sugary mouthfeel and simple apple fruit.",84,25.0,Oregon,Wetzel Estate NV Cuvée Blanc Sparkling (Willamette Valley),Sparkling Blend,Wetzel Estate
10707,Italy,"This informal, slightly sweet sparkler offers yellow pear, glazed almond and candied-citrus flavors. Vigorous bubbles and brisk acidity make up the bracing backdrop.",84,18.0,Veneto,Bellenda NV Prima Cuvée Extra Dry  (Valdobbiadene Prosecco Superiore),Glera,Bellenda
10771,Italy,"This extra brut is a quintessential Franciacorta, offering a fragrance of white and yellow flowers and a whiff of citrus. The palate delivers ripe Golden Delicious apple flavors, accented with hints of hazelnut, along with a creamy texture supported by crisp acidity.",90,25.0,Lombardy,Cola NV Extra Brut Chardonnay (Franciacorta),Chardonnay,Cola
10774,US,"Chandon's smaller production sparkler, the étoile Brut is 52% Chardonnay, 37% Pinot Noir and 11% Pinot Meunier, with most of the grapes grown in Napa and Sonoma though the wine is given a North Coast label. It has a toastiness akin to creme brûlée, a bite of yellow cider apple and almond that's quite savory and a medium finish.",90,40.0,California,Domaine Chandon NV étoile Brut Sparkling (North Coast),Sparkling Blend,Domaine Chandon
10781,France,"This is a beautiful, full rosé that is rich and shows a fine balance between acidity and fruitiness. This bottling is also mature with toastiness coming through, giving a softer, rounder character. There is weight, and great acidity on the finish.",90,65.0,Champagne,Veuve Clicquot Ponsardin NV Brut Rosé  (Champagne),Champagne Blend,Veuve Clicquot Ponsardin
10794,Italy,"Cuvée Prestige has a fragrance of toasted bread crust, apple and pear. The creamy palate has a great depth of flavors: Golden Delicious apple, lemon drop, honey and pastry. The wine finishes on an almond note.",90,40.0,Lombardy,Ca' del Bosco NV Cuvée Prestige Sparkling (Franciacorta),Sparkling Blend,Ca' del Bosco
10828,Spain,"Pear and clover aromas include a note of scrambled egg. A tight, chalky, citric mouthfeel and flavors of underripe nectarine, green apple and citrus fruits finish more like a dry white wine than a sparkler.",85,15.0,Catalonia,Biutiful NV Brut Sparkling (Cava),Sparkling Blend,Biutiful
10893,France,"Definitely pink-colored, this tastes as much wine as Champagne. A rich strawberry and red cherry flavor gains texture from the tangy acidity and hint of lemon zest. It could age until late 2015 in bottle to be even better.",90,55.0,Champagne,H. Blin NV Rosé  (Champagne),Champagne Blend,H. Blin
10894,US,"This could be considered a liquid dessert, with a rich gold color, abundant aromas of baked apple and pear tart, and tasty vanilla and marzipan flavors. But with 1% dosage it's not overly sweet, just very lush in texture, concentrated in flavor and long on the finish.",90,14.0,California,Korbel NV Chardonnay (California),Chardonnay,Korbel
10923,France,"A blend from the five different areas that are the source of Mumm's Champagnes, this wine is impressive. It has toastiness from bottle aging that has added richness to the crisp fruit. The wine, hinting at almonds as well as green apples is deliciously balanced and ready to drink.",93,75.0,Champagne,G. H. Mumm NV RSRV Maison Mumm Cuvée 4+5 Brut  (Champagne),Champagne Blend,G. H. Mumm
10928,Austria,"Flinty reduction hovers on the nose before the palate brings lemony freshness to the fore. While stony notes persist, lemon brightness and a fine, creamy mousse make for a superfresh and elegant body. The finish is dry and long. This wine is lovely now but will reward cellaring. Drink 2017–2022.",93,34.0,Niederösterreich,Schloss Gobelsburg NV Blanc de Blancs Sparkling (Niederösterreich),Sparkling Blend,Schloss Gobelsburg
10931,France,"This is an impressive wine. From the floral aromas to the crisp mineral-driven texture, the wine is tense, structured and very stylish. The apple, green plum and nervy texture are of a piece with the Chardonnay fruit from some of the finest villages in the Côte des Blancs. Drink this wine now.",93,60.0,Champagne,Lombard et Cie NV Brut Nature Grand Cru Blanc de Blancs Chardonnay (Champagne),Chardonnay,Lombard et Cie
11015,France,"In this crisp, fresh, very dry rosé Champagne, the red fruits are laced with acidity and apple. A touch of bitterness suggests the wine needs to age a few months in bottle, to soften and get a more generous feel.",87,59.0,Champagne,Tendil & Lombardi NV Cuvée Rosé Brut  (Champagne),Champagne Blend,Tendil & Lombardi
11063,Portugal,"Taking the fashion for statement bottles to a logical extension, this wine comes in a spectacular triangular-shaped bottle. The wine inside is a fine aged tawny, poised between fresh and dried fruits. It is, like any aged tawny, ready to drink.",89,25.0,Port,Martha's Wines NV 10 Years Tawny  (Port),Port,Martha's Wines
11065,France,"Produced from Chardonnay grown on the Montagne de Reims and in the Sézanne region further south, this is a fresh wine, more fruity than mineral although with a definite tilt towards citrus acidity and perfumed acidity. It's delicate, stylish and the bottling is ready to drink. Palmer is the brand name for a grouping of seven growers.",89,79.0,Champagne,Palmer & Co NV Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Palmer & Co
11113,France,"Grapes from the small village of Saint-Bris le Vineux west of Chablis are used in this attractive, crisp and fruity wine. It has a strongly mineral tang to its fruitiness with lemon zest and intense acidity. The aftertaste is softer, rounded and ready to drink.",87,23.0,Burgundy,Bailly-Lapierre NV Paul Delane Réserve Brut  (Crémant de Bourgogne),Sparkling Blend,Bailly-Lapierre
11127,France,"A blend that includes Aligoté along with the traditional Champagne grapes, this is lively and bright. Fresh apples and a soft aftertaste make for an easy to drink wine that is lit with final acidity.",87,20.0,Burgundy,Cave de Bissey NV Brut  (Crémant de Bourgogne),Sparkling Blend,Cave de Bissey
11171,US,"Made from three of the prominent grapes grown in Virginia—Chambourcin, Cabernet Franc and Petit Verdot—this dry, spicy red blend is energetic and packed with red cherry, pepper and cinnamon. Friendly and accessible, it's a great everyday sip. The wine pays tribute to service dogs and their work with disabled people.",84,12.0,Virginia,Chateau Morrisette NV Liberty Service Dog Red Red (Virginia),Red Blend,Chateau Morrisette
11207,US,"When you're blending barrels from multiple vintages, you'd better make a fine wine. Oso Libre succeeds with this opulent offering from their Abernathy Vineyard. There is leather, mocha, oak smoke, vanilla and deep cherry on the nose, followed by a rich palate of ripe red-berry fruit and a lingering campfire-flavor finish.",94,45.0,California,Oso Libre NV Rojo del Patron Red (Paso Robles),Red Blend,Oso Libre
11292,France,"This dark-colored rosé gets its color from the skins of the Pinot Noir. That makes for a ripe, structured wine with good balance between crisp red fruits and the soft aftertaste. The wine is ready to drink.",87,55.0,Champagne,Bertrand-Delespierre NV Brut Rosé de Saignée  (Champagne),Champagne Blend,Bertrand-Delespierre
11293,France,"With a vivid mousse, this ripe wine shows tannic structure as well as bright red berries. It is lively with a touch of spice as well as acidity. The aftertaste is soft and ripe from the relatively high dosage.",87,65.0,Champagne,Besserat de Bellefon NV Cuvée des Moines Brut Rosé  (Champagne),Champagne Blend,Besserat de Bellefon
11296,France,This Champagne is soft and has some sweetness (although technically Brut). Ripe melon and pear fruits are cut with enough acidity to keep the wine fresh and fruity.,87,30.0,Champagne,Canard-Duchêne NV Authentic Brut  (Champagne),Champagne Blend,Canard-Duchêne
11299,France,"A subdued nose leads onto a very lively palate dominated by foaming, big and frothy bubbles. There is an edge of bitterness but the fruit flavors are fresh and reminiscent of red apple and forest berries. Drink soon.",87,32.0,Alsace,Cave de Turckheim NV Mayerling Brut Rosé Pinot Noir (Alsace),Pinot Noir,Cave de Turckheim
11300,France,"This Champagne is soft with ripe red fruits and a gentle acidity. It is an immediately attractive wine, with an orange-tang aftertaste. The bottling is ready to drink.",87,60.0,Champagne,Chanoine NV Tsarine Rosé Brut  (Champagne),Champagne Blend,Chanoine
11301,France,"This is a simple, fruity Champagne, made to be drunk young. With its crisp citrus tang and bright acidity, it is well balanced with the soft dosage. The wine is dominated by Pinot Noir that grows so well in the Côte des Bar.",87,39.0,Champagne,Chassenay d'Arce NV La Comtesse de Neples Brut  (Champagne),Champagne Blend,Chassenay d'Arce
11312,Spain,"Earthy, gritty aromas of green lettuce, clove and barrel resin set up a mostly solid and citrusy palate. Oaky base-wine flavors of clove and wood spice rest heavily atop orange notes. The wine tastes peppery, woody and dry on the finish.",87,15.0,Catalonia,Codorníu NV Anna Brut Rosé Sparkling (Cava),Sparkling Blend,Codorníu
11313,Italy,"This fun, pale pink sparkler offers delicate flavors of apple, tart cherry and a touch of citrus. Lively, persistent bubbles and a kick of acidity lift the finish.",87,25.0,Lombardy,Contadi Castaldi NV Rosé Sparkling (Franciacorta),Sparkling Blend,Contadi Castaldi
11315,France,"Notes of yellow mirabelle plum are perfumed with floral hints. These flavors unfold even more on the palate where a frothy mousse underlines all the primary fruit. This is easy and fruit-driven with a creamy, dry finish.",87,16.0,Alsace,Domaine Michel Fonne NV Brut Sparkling (Crémant d'Alsace),Sparkling Blend,Domaine Michel Fonne
11316,France,"Generous, nearly fleshy notes of strawberry compote give this almost a confected edge. On the palate, this richness is checked by some lemon freshness and some bitter edges while the fizz froths in big, lively bubbles. Drink soon.",87,25.0,Alsace,Domaine Zinck NV Brut Rosé Pinot Noir (Alsace),Pinot Noir,Domaine Zinck
11360,US,"Everything about this wine is admirable except for the concentration. It's dry and crisp with acidity, but only delicately flavored with citrus, pears, honey and vanilla bean.",82,15.0,California,Seven Daughters NV Pinot Grigio (California),Pinot Grigio,Seven Daughters
11361,US,"This is a straightforward but simple wine. It's dry and crisp but a bit watery with lemon, lime and vanilla flavors.",82,15.0,California,Seven Daughters NV Sauvignon Blanc (California),Sauvignon Blanc,Seven Daughters
11368,US,This unidentified blend is simple and ripe with flavors of cola and cherry candy.,81,13.0,California,Insatiable NV Red (California),Red Blend,Insatiable
11428,Portugal,"Deep old gold in color, this wine speaks of its years in wood. While it has retained its fruit, it has also rich toast, sultanas and considerable sweetness that is balanced by the intense acidity at the back. It's a beautiful wine, ready to drink like any aged tawny.",91,60.0,Port,Quinta das Carvalhas NV 20 Year Old Tawny  (Port),Port,Quinta das Carvalhas
11534,Argentina,"Given the local competition, this Pinot Noir-dominated sparkler is pretty good. It has a peachy color along with creamy aromas that might be a little oxidized but are soft and easy nonetheless. The palate feel is frothy, while the flavors are of peach pits and underripe cantaloupe. Finishes dry and lively.",86,16.0,Mendoza Province,Viniterra NV Método Tradicional Extra Brut  (Mendoza),Champagne Blend,Viniterra
11595,Italy,"Made from organic grapes, this is a cheerful Prosecco with apricot, honey and butterscotch delivered in a simple and uncomplicated manner. The mouthfeel is thin and sharp.",83,12.0,Veneto,Pizzolato NV Fields Brut  (Prosecco),Glera,Pizzolato
11599,Italy,"This sweet, sparkling Rosato opens with fresh tones of raspberry and blueberry followed by simple freshness in the mouth. There's not much here, but the wine is cheerful and fun overall.",83,17.0,Piedmont,Demarie NV Birbet Brachetto (Piedmont),Brachetto,Demarie
11602,US,"Pretty dark for a rosé, and heavy and rich, too. Tastes like a raspberry Newton cookie.",83,18.0,California,Loken Cellars NV Reserve Lot 14 Grenache Rosé (California),Rosé,Loken Cellars
11608,Italy,"Described as medium-sweet on the label, this light white wine offers tones of peach nectar, honey and white flower. It is a simple and one dimensional wine with a subtle touch of sweetness on the close. Pair it with salty appetizers.",83,10.0,Italy Other,Canti NV White (Italy),White Blend,Canti
11609,Italy,"This sparkling red Lambrusco opens with a touch of pungent apple skin backed by red berry and even a touch of leather or spice at the back. This is indeed an amiable expression, so expect tangy sweetness in the mouth.",83,11.0,Central Italy,Cantina di Sorbara NV Amabile  (Lambrusco di Sorbara),Lambrusco,Cantina di Sorbara
11619,France,"Structured with a core of tannin, this is a ripe wine. It has layers of red fruit and attractive acidity, showing the potential to last a few more months before drinking.",85,15.0,France Other,Vins Descombe NV Rouge Carmin Red (Vin de France),Red Blend,Vins Descombe
11648,France,"Deep pink in color, this warm and rich rosé is touched with spice and tannin as well as red currant fruits and a crisp acidity on the finish. The wine could improve further with some bottle age.",87,90.0,Champagne,Forget-Brimont NV Grand Rosé  (Champagne),Champagne Blend,Forget-Brimont
11655,France,"The onion-skin pink color sets the stage for an off-dry, just-sweet wine, that is crisp, yet soft and rounded. It has good weight, fresh raspberry flavor, and delicate sweetness, resulting in a wine that's crisp and textured.",87,59.0,Champagne,Nicolas Feuillatte NV D'Luscious Demi-Sec Rosé  (Champagne),Champagne Blend,Nicolas Feuillatte
11656,France,"This is a wine that shows strong minerality but not much fruitiness. It has acidity, and is textured with a chalky mouthfeel, but the fruit character is subdued, making this a wine that is very crisp and tight.",87,85.0,Champagne,Philippe Fontaine NV Cuvée des Lys Brut Blanc de Blancs Chardonnay (Champagne),Chardonnay,Philippe Fontaine
11757,Spain,"Toasty right away, with lightly baked apple aromas. The palate has a fine feel and good overall intensity, while the flavors of lemon, white grapefruit and apple are subtle and clean. Long and persistent, and showing quite a bit for a standard nonvintage Cava.",89,19.0,Catalonia,Albet I Noya NV Petit Albet Brut Cava Sparkling (Cava),Sparkling Blend,Albet I Noya
11830,France,"This attractively balanced, ripe wine offers rich fruitiness and soft acidity, with apple, pear and greengage flavors. The full mousse brings a creamy character to this ready-to-drink wine from the Aube, the southern part of Champagne.",88,37.0,Champagne,Gremillet NV Sélection Brut  (Champagne),Champagne Blend,Gremillet
11839,France,"The wine is bone-dry with acidity as well as fragrant fruitiness. Because it comes from the south of Champagne, it has enough ripe fruit to sustain and balance this really dry character. It's ready to drink, although holding until late 2015 will help it even more.",88,46.0,Champagne,Gremillet NV Zero Dosage Brut Nature  (Champagne),Champagne Blend,Gremillet
11870,France,"Close to Epernay and on the cusp of the Chardonnay-dominated Côte des Blancs, this producer has Grand Cru holdings in the village of Chouilly. Those vines have produced a wine that balances mineral-laced fruit with a soft aftertaste. Young and with apple flavors, it's great now but will continue to develop in the cellar. Drink from 2018.",90,49.0,Champagne,Vazart Coquart & Fils NV Blanc de Blancs Réserve Brut Chardonnay (Champagne),Chardonnay,Vazart Coquart & Fils
11877,France,"This nonvintage classic is on point with its soft, ripe style. It has just enough maturity to fill out the fruit, with hints of almond and toast. On the palate, attractive bright citrus and green apple flavors dominate.",90,45.0,Champagne,Deutz NV Brut Classic  (Champagne),Champagne Blend,Deutz
11926,Spain,"Intense, well-directed aromas are staunch, woody and suggest turpentine before pulling back. A lemony palate is loaded with citric acidity, which creates an electric mouthfeel. Nutty, citric and zesty on the finish, this is a superb artisan fino with a high level of complexity.",92,45.0,Andalucia,González Byass NV Fino Dos Palmas Sherry (Jerez),Sherry,González Byass
12001,US,"Pale and refined, with elegant flavors of raspberries, strawberries, vanilla and yeasty lees. With a slightly sweet finish, balanced with crisp coastal acidity, it's a beautiful sparkling wine.",92,23.0,California,Scharffenberger NV Brut Rosé Sparkling (Mendocino County),Sparkling Blend,Scharffenberger
12007,France,"The aromas are of smoky bottle age and this translates into the flavors, with a light rancio character giving complexity to a finely made, rich, raspberry-flavored wine. It is full-bodied in the Charles Heidsieck style, a definite food wine.",92,75.0,Champagne,Charles Heidsieck NV Rosé Réserve Brut  (Champagne),Champagne Blend,Charles Heidsieck
